Текст	Номер предложения в тексте	Слово	Номер слова	Разметчик	Тэги	Ошибка
 - ( - , - ), Darya_new_tagg_A3 2294 	1	Что	1			
 - ( - , - ), Darya_new_tagg_A3 2294 	1	такой	2	Darya	typo/orpho	дург
 - ( - , - ), Darya_new_tagg_A3 2294 	1	такой	2	Darya	Coord	такой
 - ( - , - ), Darya_new_tagg_A3 2294 	1	дург	3			
 - ( - , - ), Darya_new_tagg_A3 2294 	2	Это	1			
 - ( - , - ), Darya_new_tagg_A3 2294 	2	хороший	2			
 - ( - , - ), Darya_new_tagg_A3 2294 	2	вопрось	3	Darya	orpho/phon	вопрось
 - ( - , - ), Darya_new_tagg_A3 2294 	2	потому	4			
 - ( - , - ), Darya_new_tagg_A3 2294 	2	что	5			
 - ( - , - ), Darya_new_tagg_A3 2294 	2	людей	6	Darya	gov	людей
 - ( - , - ), Darya_new_tagg_A3 2294 	2	думают	7			
 - ( - , - ), Darya_new_tagg_A3 2294 	2	об	8			
 - ( - , - ), Darya_new_tagg_A3 2294 	2	этом	9			
 - ( - , - ), Darya_new_tagg_A3 2294 	2	в	10	Darya	constr	в   одно   страни   и   с   другой   страни.
 - ( - , - ), Darya_new_tagg_A3 2294 	2	одно	11			
 - ( - , - ), Darya_new_tagg_A3 2294 	2	страни	12			
 - ( - , - ), Darya_new_tagg_A3 2294 	2	и	13			
 - ( - , - ), Darya_new_tagg_A3 2294 	2	с	14			
 - ( - , - ), Darya_new_tagg_A3 2294 	2	другой	15			
 - ( - , - ), Darya_new_tagg_A3 2294 	2	страни	16			
 - ( - , - ), Darya_new_tagg_A3 2294 	3	Я	1	Darya	orpho/typo/morph+lexcalque	веру
 - ( - , - ), Darya_new_tagg_A3 2294 	3	Я	1	Darya	Constr	Я   веру   что   человек
 - ( - , - ), Darya_new_tagg_A3 2294 	3	веру	2			
 - ( - , - ), Darya_new_tagg_A3 2294 	3	что	3			
 - ( - , - ), Darya_new_tagg_A3 2294 	3	человек	4			
 - ( - , - ), Darya_new_tagg_A3 2294 	3	с	5			
 - ( - , - ), Darya_new_tagg_A3 2294 	3	добром	6	Darya	orpho/typo	добром
 - ( - , - ), Darya_new_tagg_A3 2294 	3	характерим	7	Darya	orpho/typo/morph	характерим
 - ( - , - ), Darya_new_tagg_A3 2294 	4	И	1			
 - ( - , - ), Darya_new_tagg_A3 2294 	4	наверется	2	Darya	not-clear	наверется
 - ( - , - ), Darya_new_tagg_A3 2294 	4	наверется	2	Darya	constr	наверется   также   хобби   как   себя.
 - ( - , - ), Darya_new_tagg_A3 2294 	4	также	3			
 - ( - , - ), Darya_new_tagg_A3 2294 	4	хобби	4			
 - ( - , - ), Darya_new_tagg_A3 2294 	4	как	5			
 - ( - , - ), Darya_new_tagg_A3 2294 	4	себя	6			
 - ( - , - ), Darya_new_tagg_A3 2294 	5	На	1	Darya	orpho	На   пример
 - ( - , - ), Darya_new_tagg_A3 2294 	5	пример	2			
 - ( - , - ), Darya_new_tagg_A3 2294 	5	мы	3			
 - ( - , - ), Darya_new_tagg_A3 2294 	5	с	4			
 - ( - , - ), Darya_new_tagg_A3 2294 	5	дрзьями	5	Darya	orpho/typo	дрзьями
 - ( - , - ), Darya_new_tagg_A3 2294 	5	играем	6			
 - ( - , - ), Darya_new_tagg_A3 2294 	5	в	7			
 - ( - , - ), Darya_new_tagg_A3 2294 	5	хоккей	8			
 - ( - , - ), Darya_new_tagg_A3 2294 	5	две	9	Darya	coord	две
 - ( - , - ), Darya_new_tagg_A3 2294 	5	часа	10			
 - ( - , - ), Darya_new_tagg_A3 2294 	5	в	11			
 - ( - , - ), Darya_new_tagg_A3 2294 	5	неделю	12			
 - ( - , - ), Darya_new_tagg_A3 2294 	5	которую	13	Darya	constr	которую   нам   навераемся   товарищество   и   наша   хобби
 - ( - , - ), Darya_new_tagg_A3 2294 	5	нам	14			
 - ( - , - ), Darya_new_tagg_A3 2294 	5	навераемся	15	Darya	not-clear	навераемся
 - ( - , - ), Darya_new_tagg_A3 2294 	5	товарищество	16			
 - ( - , - ), Darya_new_tagg_A3 2294 	5	и	17			
 - ( - , - ), Darya_new_tagg_A3 2294 	5	наша	18			
 - ( - , - ), Darya_new_tagg_A3 2294 	5	хобби	19			
 - ( - , - ), Darya_new_tagg_A3 2294 	6	Другь	1	Darya	orpho/phon	Другь
 - ( - , - ), Darya_new_tagg_A3 2294 	6	человек	2			
 - ( - , - ), Darya_new_tagg_A3 2294 	6	которий	3			
 - ( - , - ), Darya_new_tagg_A3 2294 	6	будет	4			
